Generated by Fabric Compiler ( version 2022.2-SP6.4 <build 146967> ) at Thu Nov  6 03:41:22 2025
  fre_duty_measure1.N100(from GTP_LUT6D:Z)         : 32
  fre_duty_measure2.N100(from GTP_LUT6D:Z)         : 32
  wave1_judge.divider1.rdy[14](from GTP_DFF_C:Q)   : 33
  fre_duty_measure1.N125(from GTP_LUT6:Z)          : 37
  fre_duty_measure2.N125(from GTP_LUT6:Z)          : 37
  display_HMI.binary2BCD_THD1.N207(from GTP_LUT6D:Z)     : 40
  Vpp_measure1.N45(from GTP_LUT6D:Z)               : 48
  display_HMI.binary2BCD_THD1.N210(from GTP_LUT6D:Z)     : 48
  display_HMI.binary2BCD_THD1.state_c_reg[3](from GTP_DFF_C:Q)       : 48
  fft_transform1.FFT_calculation.sampler_inst.N13(from GTP_LUT2:Z)   : 60
  fft_transform2.FFT_calculation.sampler_inst.N13(from GTP_LUT2:Z)   : 60
  display_HMI.binary2BCD_cnt1.N207(from GTP_LUT6D:Z)     : 70
  display_HMI.binary2BCD_fsc.N207(from GTP_LUT6D:Z)      : 73
  wave1_judge.divider1.rdy[26](from GTP_DFF_C:Q)   : 89
  display_HMI.binary2BCD_fsc.N210(from GTP_LUT6D:Z)      : 92
  display_HMI.binary2BCD_fsc.state_c_reg[3](from GTP_DFF_C:Q)  : 92
  display_HMI.binary2BCD_cnt1.N210(from GTP_LUT6D:Z)     : 96
  display_HMI.binary2BCD_cnt1.state_c_reg[3](from GTP_DFF_C:Q)       : 96
  display_HMI.binary2BCD_tx_Vpp1_max.N207(from GTP_LUT6D:Z)    : 112
  data_select.N35(from GTP_LUT6D:Z)                : 128
  display_HMI.rx_state_reg[21](from GTP_DFF_CE:Q)  : 128
  esp8266.rx_state_reg[21](from GTP_DFF_CE:Q)      : 128
  THD1[0](from GTP_DFF_C:Q)                        : 135
  display_HMI.binary2BCD_tx_Vpp1_max.N210(from GTP_LUT3:Z)     : 140
  display_HMI.binary2BCD_tx_Vpp1_max.state_c_reg[3](from GTP_DFF_C:Q)      : 140
  wave1_judge.divider1.rdy[16](from GTP_DFF_C:Q)   : 159
  wave1_judge.divider1.rdy[17](from GTP_DFF_C:Q)   : 159
  wave1_judge.divider1.rdy[18](from GTP_DFF_C:Q)   : 159
  wave1_judge.divider1.rdy[19](from GTP_DFF_C:Q)   : 159
  wave1_judge.divider1.rdy[20](from GTP_DFF_C:Q)   : 159
  wave1_judge.divider1.rdy[21](from GTP_DFF_C:Q)   : 159
  wave1_judge.divider1.rdy[22](from GTP_DFF_C:Q)   : 159
  wave1_judge.divider1.rdy[23](from GTP_DFF_C:Q)   : 159
  wave1_judge.divider1.rdy[24](from GTP_DFF_C:Q)   : 159
  wave1_judge.divider1.rdy[25](from GTP_DFF_C:Q)   : 159
  wave1_judge.N160(from GTP_LUT6:Z)                : 226
  wave1_judge.N196(from GTP_LUT6:Z)                : 320

Number of DFF:CLK Signals : 2
  adc_clk(from GTP_GPLL:CLKOUT0)                   : 7957
  uart_clk(from GTP_GPLL:CLKOUT1)                  : 31360

Number of DFF:CP Signals : 1
  ~nt_rst(from GTP_INV:Z)                          : 38787

